category,metric,value
A,metric1,39.14369397
A,metric1,59.97345447
A,metric1,52.82978498
A,metric1,34.93705286
A,metric1,44.21399748
A,metric1,66.51436537
A,metric1,25.73320757
A,metric1,45.71087371
A,metric1,62.65936259
A,metric1,41.33259598
A,metric1,43.21113848
A,metric1,49.05291031
A,metric1,64.91389626
A,metric1,43.61098003
A,metric1,45.5601804
A,metric1,45.65648724
A,metric1,72.05930083
A,metric1,71.86786089
A,metric1,60.04053898
A,metric1,53.86186399
A,metric1,57.37368576
A,metric1,64.90732028
A,metric1,40.64166132
A,metric1,61.75829045
A,metric1,37.46119332
A,metric1,43.62248498
A,metric1,59.07105196
A,metric1,35.713193
A,metric1,48.5993128
A,metric1,41.38245104
A,metric1,47.44380629
A,metric1,22.01410895
A,metric1,32.28466895
A,metric1,43.00122765
A,metric1,59.27462432
A,metric1,48.26364317
A,metric1,50.02845916
A,metric1,56.88222711
A,metric1,41.20463657
A,metric1,52.83627324
A,metric1,41.94633482
A,metric1,32.72330506
A,metric1,46.09100206
A,metric1,55.73805862
A,metric1,53.38589051
A,metric1,49.88169506
A,metric1,73.92365266
A,metric1,54.1291216
A,metric1,59.78736006
A,metric1,72.38143338
B,metric1,44.47097612
B,metric1,47.53454148
B,metric1,80.9245467
B,metric1,50.42324718
B,metric1,60.35619876
B,metric1,72.83179163
B,metric1,70.6884767
B,metric1,81.05863418
B,metric1,77.94772964
B,metric1,72.83271204
B,metric1,50.72749543
B,metric1,69.53835201
B,metric1,63.77126393
B,metric1,44.08481448
B,metric1,77.00758856
B,metric1,69.68683841
B,metric1,60.54588097
B,metric1,57.20289527
B,metric1,45.62038626
B,metric1,62.39428888
B,metric1,65.62126943
B,metric1,50.02614019
B,metric1,73.94644859
B,metric1,46.83356344
B,metric1,34.5227958
B,metric1,72.47672509
B,metric1,55.15960754
B,metric1,58.48764498
B,metric1,49.94979933
B,metric1,40.72844687
B,metric1,75.0628485
B,metric1,51.73357219
B,metric1,79.93142986
B,metric1,69.68769823
B,metric1,56.22290224
B,metric1,46.96917119
B,metric1,51.21045616
B,metric1,45.44972243
B,metric1,85.04536032
B,metric1,61.97329476
B,metric1,73.80246651
B,metric1,44.79177541
B,metric1,62.17242156
B,metric1,74.13434327
B,metric1,55.97987086
B,metric1,72.37337351
B,metric1,46.98518506
B,metric1,43.63834146
B,metric1,64.55280734
B,metric1,55.44988279
C,metric1,60.13643751
C,metric1,39.17689655
C,metric1,60.69811708
C,metric1,75.78643142
C,metric1,54.80299215
C,metric1,55.27313703
C,metric1,56.43639588
C,metric1,40.10419431
C,metric1,58.40917312
C,metric1,42.15672205
C,metric1,51.57856322
C,metric1,64.9429564
C,metric1,49.11826435
C,metric1,59.00999192
C,metric1,63.10191243
C,metric1,57.22992685
C,metric1,44.03241224
C,metric1,52.3401978
C,metric1,70.67529074
C,metric1,38.7996339
C,metric1,52.79371189
C,metric1,50.58313543
C,metric1,55.9659789
C,metric1,60.98572494
C,metric1,67.86952774
C,metric1,52.83814086
C,metric1,61.49873064
C,metric1,58.99792116
C,metric1,58.79477838
C,metric1,50.48860855
C,metric1,47.02142825
C,metric1,46.1996551
C,metric1,48.94850232
C,metric1,57.57349261
C,metric1,61.08759515
C,metric1,57.58775078
C,metric1,50.60835923
C,metric1,69.44776088
C,metric1,67.15092499
C,metric1,52.1679991
C,metric1,48.41254875
C,metric1,56.04171963
C,metric1,65.13838916
C,metric1,57.66211982
C,metric1,59.45238964
C,metric1,53.30335902
C,metric1,58.65016716
C,metric1,67.35635561
C,metric1,53.08264975
C,metric1,56.14646186
A,metric2,49.61758605
A,metric2,47.23189721
A,metric2,54.0652062
A,metric2,31.37689968
A,metric2,30.85318361
A,metric2,31.48982228
A,metric2,35.09790676
A,metric2,35.52180505
A,metric2,38.26035075
A,metric2,31.30386115
A,metric2,32.2489446
A,metric2,46.69423339
A,metric2,36.31088433
A,metric2,46.49938133
A,metric2,30.07454091
A,metric2,38.02053366
A,metric2,56.87250249
A,metric2,38.72693693
A,metric2,32.30792389
A,metric2,42.64988869
A,metric2,34.76401411
A,metric2,41.03777447
A,metric2,30.29758137
A,metric2,40.10327711
A,metric2,30.32727691
A,metric2,43.65631928
A,metric2,36.40389663
A,metric2,31.29828947
A,metric2,37.82275544
A,metric2,30.69108353
A,metric2,40.59482555
A,metric2,85.43279054
A,metric2,44.67059123
A,metric2,38.52785824
A,metric2,31.08292877
A,metric2,42.03419873
A,metric2,40.82250478
A,metric2,30.50343357
A,metric2,45.71657187
A,metric2,37.31298974
A,metric2,35.54895411
A,metric2,45.52052289
A,metric2,35.30295986
A,metric2,36.55902024
A,metric2,32.00439308
A,metric2,33.87603922
A,metric2,48.67774775
A,metric2,32.06905786
A,metric2,35.40067464
A,metric2,75.13001973
B,metric2,39.85951206
B,metric2,79.76413923
B,metric2,80.10610974
B,metric2,36.72325245
B,metric2,46.21352167
B,metric2,47.55661468
B,metric2,41.77511338
B,metric2,35.87294098
B,metric2,39.97983055
B,metric2,36.80730343
B,metric2,39.89846127
B,metric2,64.68510331
B,metric2,75.56458703
B,metric2,35.79532679
B,metric2,41.47028024
B,metric2,105.9481706
B,metric2,48.95815212
B,metric2,52.7178859
B,metric2,35.10009514
B,metric2,46.941426
B,metric2,115.1109489
B,metric2,43.46540931
B,metric2,36.83734971
B,metric2,46.15508861
B,metric2,94.34524537
B,metric2,42.52927318
B,metric2,63.87318859
B,metric2,63.86635055
B,metric2,39.20313396
B,metric2,45.54530727
B,metric2,57.63280517
B,metric2,44.51325421
B,metric2,38.81536927
B,metric2,96.67412054
B,metric2,53.93542994
B,metric2,71.10606721
B,metric2,35.4601954
B,metric2,40.58865967
B,metric2,47.55136371
B,metric2,36.25695883
B,metric2,124.3989447
B,metric2,39.85627227
B,metric2,43.43969171
B,metric2,39.33464562
B,metric2,37.00573747
B,metric2,39.76262831
B,metric2,41.43584503
B,metric2,53.11395905
B,metric2,40.94396924
B,metric2,43.09731592
C,metric2,40.03814767
C,metric2,42.91368578
C,metric2,44.88528
C,metric2,41.13123889
C,metric2,45.82332164
C,metric2,42.22041787
C,metric2,46.39878121
C,metric2,40.16989343
C,metric2,53.98805224
C,metric2,40.10399967
C,metric2,40.86893856
C,metric2,49.60839872
C,metric2,40.30068348
C,metric2,47.94447405
C,metric2,62.66913132
C,metric2,53.14080636
C,metric2,47.92596435
C,metric2,60.36669857
C,metric2,43.59546556
C,metric2,53.20073738
C,metric2,42.81594126
C,metric2,56.99769176
C,metric2,41.03092423
C,metric2,58.00892426
C,metric2,51.44360635
C,metric2,51.97541653
C,metric2,40.84672834
C,metric2,45.80829646
C,metric2,40.10578127
C,metric2,48.17410897
C,metric2,40.04971267
C,metric2,40.5672768
C,metric2,41.63542763
C,metric2,53.31480518
C,metric2,42.89210093
C,metric2,44.96922685
C,metric2,45.3732393
C,metric2,41.635138
C,metric2,45.43344037
C,metric2,46.9223231
C,metric2,42.26669759
C,metric2,43.47111993
C,metric2,43.86220197
C,metric2,57.2378733
C,metric2,45.66722506
C,metric2,58.95281073
C,metric2,45.19685756
C,metric2,44.44333218
C,metric2,40.02264617
C,metric2,44.19608083
